0.000000,2c0,8,14,00,00,00,00,00,00,00
0.000803,4f0,8,00,00,00,80,00,69,d1,13
0.001982,690,8,00,00,00,00,a0,22,00,00
0.002965,002,8,00,00,00,00,00,06,05,d6
0.003436,18f,8,fe,5a,00,00,00,41,00,00
0.003912,130,8,1d,80,00,ff,fe,7f,05,33
0.004373,131,8,05,80,00,00,5e,7f,05,0e
0.004840,140,8,00,00,00,00,0a,22,25,06
0.005318,260,8,18,21,22,30,08,8f,6e,39
0.005756,2a0,8,64,00,9a,1d,97,02,bd,00
0.006211,316,8,05,21,30,0a,21,1e,00,6f
0.006664,329,8,dc,bb,7f,14,11,20,00,14
0.007127,545,8,d8,00,00,8a,00,00,00,00
0.008213,43f,8,00,40,60,ff,7e,8c,09,00
0.008688,370,8,00,20,00,00,00,00,00,00
0.009168,440,8,ff,00,00,00,ff,8c,09,00
0.012076,350,8,05,20,94,68,77,00,00,ae
0.013059,0a0,8,5a,84,30,0a,00,1f,02,00
0.013521,0a1,8,84,8a,00,00,23,00,00,00
0.014086,2c0,8,14,00,00,00,00,00,00,00
0.016645,430,8,00,00,00,00,00,00,00,00
0.017111,4b1,8,29,27,27,23,00,00,00,9a
0.017584,1f1,8,08,00,00,00,00,00,00,00
0.018059,153,8,00,21,10,ff,00,ff,00,00
0.018529,002,8,00,00,00,00,00,06,06,f1
0.019016,260,8,19,21,22,30,08,8f,6e,05
0.019477,130,8,1b,80,00,ff,01,80,06,88
0.019947,131,8,fb,7f,00,00,52,7f,06,82
0.020412,140,8,00,00,00,00,0c,32,26,90
0.020879,2a0,8,04,00,9a,1d,97,02,bd,00
0.021334,316,8,05,21,30,0a,21,1e,00,6f
0.021789,329,8,0c,bb,7f,14,11,20,00,14
0.022260,545,8,d8,00,00,89,00,00,00,00
0.022742,370,8,00,20,00,00,00,00,00,00
0.023221,43f,8,00,40,60,ff,7e,8b,09,00
0.023688,440,8,ff,00,00,00,ff,8b,09,00
